domain,code,context
rocketmail.com,451,4.4.2 [internal] no RSET response
rocketmail.com,421,4.7.0 [TSS04] Messages from (100.100.100.100) temporarily deferred due to unexpected volume or user complaints - 100.100.100.100; see https://postmaster.yahooinc.com/error-codes
rocketmail.com,421,4.7.1 [TS03] All messages from 100.100.100.100 will be permanently deferred; Retrying will NOT succeed. See http://postmaster.yahoo.com/421-ts03.html
rocketmail.com,451,Message temporarily deferred - [170]
